#,English/Russian,POS,Level,Serbian
1238,heavily / сложно,Adverb,B1,тешко
1239,heavy / тяжелый,Adjective,A2,тежак
1240,heel / пятый,Noun,B2,пета
1241,height / высота,Noun,A2,висина
1242,helicopter / вертолет,Noun,B1,хеликоптер
1243,hell / ад,Noun,B2,пакао
1244,hello / Привет,exclam./Noun,A1,Здраво
1245,help / помощь,Verb Noun,A1,помоћ
1246,helpful / полезный,Adjective,A2,користан
1247,her / ее,proNoundet,A1,њеној
1248,here / здесь,Adverb,A1,овде
1249,hero / герой,Noun,A2,јунак
1250,hers / ее,proNoun,A2,њен
1251,herself / саму себя,proNoun,A2,она сама
1252,hesitate / стесняться,Verb,B2,оклевати
1253,hey / Привет,exclam,A1,еј
1254,hi / Привет,exclam,A1,Здраво
1255,hide / прятаться,Verb,A2,сакрити
1256,high / высокий,"Adjective, AdVerb Noun","A1, A2, B2",висок
1257,highlight / кульминация,Verb Noun,B1,врхунац
1258,highly / высокая,Adverb,B1,високо
1259,hill / холм,Noun,A2,брдо
1260,him / его,proNoun,A1,њега
1261,himself / самим собой,proNoun,A2,себе
1262,hire / арендовать,Verb Noun,"B1, B2",најам
1263,his / его,det. proNoun,"A1, A2",његов
1264,historic / исторический,Adjective,B1,историјски
1265,historical / исторический,Adjective,B1,историјски
1266,history / история,Noun,A1,историја
1267,hit / удар,Verb Noun,A2,погодак
1268,hobby / хобби,Noun,A1,хоби
1269,hockey / хоккей,Noun,A2,хокеј
1270,hold / держать,Verb Noun,"A2, B2",држати
1271,hole / отверстие,Noun,A2,рупа
1272,holiday / праздничный день,Noun,A1,одмор
1273,hollow / пустой,Adjective,B2,шупаљ
1274,holy / Святой,Adjective,B2,Свети
1275,home / дом,Noun AdVerb Adjective,"A1, A2",кућа
1276,homework / домашнее задание,Noun,A1,домаћи задатак
1277,honest / честный,Adjective,B1,поштен
1278,honour / честь,Noun Verb,B2,част
1279,hope / надеяться,Verb Noun,"A1, A2",надати се
1280,horrible / ужасный,Adjective,B1,ужасан
1281,horror / ужастик,Noun,B1,ужас
1282,horse / лошадь,Noun,A1,коњ
1283,hospital / больница,Noun,A1,болница
1284,host / хозяин,Noun Verb,"B1, B2",домаћин
1285,hot / горячий,Adjective,A1,врућ
1286,hotel / Отель,Noun,A1,Хотел
1287,hour / часы,Noun,A1,сат
1288,house / дом,Noun Verb,"A1, B2",кућа
1289,household / семья,Noun,B2,домаћинство
1290,housing / Корпус,Noun,B2,кућиште
1291,how / Как,Adverb,A1,како
1292,however / Однако,Adverb,A1,Међутим
1293,huge / огромный,Adjective,A2,огроман
1294,human / человек,"Adjective, Noun",A2,људски
1295,humorous / шутка,Adjective,B2,шаљив
1296,humour / юмор,Noun,B2,хумор
1297,hundred / Таблица,number,A1,сто
1298,hungry / голодный,Adjective,A1,гладан
1299,hunt / охота,Verb Noun,"B1, B2",лов
1300,hunting / охота,Noun,B2,лов
1301,hurricane / ураган,Noun,B1,ураган
1302,hurry / торопиться,Noun Verb,B1,пожурити
1303,hurt / это больно,Verb Adjective Noun,"A2, B2",боли
1304,husband / муж,Noun,A1,супруг
1305,I / мне,proNoun,A1,ја
1306,ice / лед,Noun,A1,лед
1307,ice cream / Мороженое,Noun,A1,Сладолед
1308,idea / Идея,Noun,A1,идеја
1309,ideal / идеальный,"Adjective , Noun","A2, B2",идеалан
1310,identify / идентифицировать,Verb,A2,идентификовати
1311,identity / личность,Noun,B1,идентитет
1312,if / если,conj.,A1,ако
1313,ignore / игнорировать,Verb,B1,игнорисати
1314,ill / больной,Adjective,A2,болестан
1315,illegal / незаконный,Adjective,B1,незаконит
1316,illness / болезнь,Noun,A2,болест
1317,illustrate / проиллюстрировать,Verb,B2,илустровати
1318,illustration / иллюстрация,Noun,B2,илустрација
1319,image / картина,Noun,A2,слика
1320,imaginary / мнимый,Adjective,B1,имагинаран
1321,imagination / воображение,Noun,B2,машта
1322,imagine / представить,Verb,A1,замислити
1323,immediate / немедленный,Adjective,B1,непосредан
1324,immediately / немедленно,Adverb,A2,одмах
1325,immigrant / иммигрант,Noun,B1,имигрант
1326,impact / влияние,Noun Verb,B1,утицај
1327,impatient / нетерпеливый,Adjective,B2,нестрпљив
1328,imply / подразумевает,Verb,B2,подразумевати
1329,import / импорт,Noun Verb,B1,увоз
1330,importance / важность,Noun,B1,значај
1331,important / важный,Adjective,A1,важно
1332,impose / навязывать,Verb,B2,наметнути
1333,impossible / невозможно,Adjective,A2,немогућ
1334,impress / Впечатлить,Verb,B2,Импресс
1335,impressed / впечатленный,Adjective,B2,impresioniran
1336,impression / впечатление,Noun,B1,утисак
1337,impressive / впечатляющий,Adjective,B1,импресиван
1338,improve / улучшать,Verb,A1,побољшати
1339,improvement / улучшение,Noun,B1,побољшање
1340,in / в,"prep., Adverb",A1,у
1341,inch / дюйм,Noun,B2,инч
1342,incident / случай,Noun,B2,случај
1343,include / охватывать,Verb,A1,обухватити
1344,included / включенный,Adjective,A2,укључен
1345,including / включая,prep.,A2,укључујући
1346,income / доход,Noun,B2,приход
1347,increase / увеличить размер,Verb Noun,A2,повећати
1348,increasingly / все,Adverb,B2,све
1349,incredible / невероятно,Adjective,A2,невероватно
1350,incredibly / невероятно,Adverb,B1,невероватно
1351,indeed / В самом деле,Adverb,B1,заиста
1352,independent / независимый,Adjective,A2,независан
1353,indicate / точка,Verb,B1,указати
1354,indirect / косвенный,Adjective,B1,индиректан
1355,individual / личность,"Noun, adj",A2,појединац
1356,indoor / внутренний,Adjective,B1,унутрашњи
1357,indoors / внутри,Adverb,B1,унутра
1358,industrial / промышленный,Adjective,B2,индустријски
1359,industry / промышленность,Noun,A2,индустрија
1360,infection / инфекционное заболевание,Noun,B2,инфекција
1361,influence / влияние,NounVerb,B1,утицај
1362,inform / поставить в известность,Verb,B2,обавестити
1363,informal / неофициальный,Adjective,A2,неформалан
1364,information / Информация,Noun,A1,информације
1365,ingredient / ингредиент,Noun,B1,састојак
1366,initial / исходный,Adjective,B2,почетни
1367,initially / В начале,Adverb,B2,у почетку
1368,initiative / инициатива,Noun,B2,иницијатива
1369,injure / повредить,Verb,B1,повредити
1370,injured / раненый,Adjective,B1,повређених
1371,injury / рана,Noun,A2,повреда
1372,inner / внутренний,Adjective,B2,унутрашњи
1373,innocent / невиновный,Adjective,B1,невин
1374,insect / насекомое,Noun,A2,инсект
1375,inside / в,prep.Adverb Noun Adjective,A2,у
1376,insight / понимание,Noun,B2,на видику
1377,insist / настаивать,Verb,B2,инсистирати
1378,inspire / Вдохновлять,Verb,B2,Инспире
1379,install / установить,Verb,B2,инсталирај
1380,instance / пример,Noun,B2,пример
1381,instead / вместо,Adverb,A2,уместо тога
1382,institute / Институт,Noun,B2,Институт
1383,institution / учреждение,Noun,B2,институција
1384,instruction / инструкция,Noun,A2,упутство
1385,instructor / Инструктор,Noun,A2,инструктор
1386,instrument / инструменты,Noun,A2,оруђе
1387,insurance / страхование,Noun,B2,осигурање
1388,intelligence / интеллект,Noun,B1,интелигенција
1389,intelligent / умный,Adjective,A2,интелигентан
1390,intend / я собираюсь,Verb,B1,Намеравам
1391,intended / предназначен для,Adjective,B2,намењен
1392,intense / интенсивный,Adjective,B2,интензиван
1393,intention / намерение,Noun,B1,намера
1394,interest / интерес,Noun Verb,A1,камата
1395,interested / заинтересован,Adjective,A1,заинтересован
1396,interesting / интересно,Adjective,A1,занимљив
1397,internal / внутренний,Adjective,B2,интерни
1398,international / Международный,Adjective,A2,међународни
1399,internet / Интернет,Noun,A1,Интернет
1400,interpret / интерпретировать,Verb,B2,протумачити
1401,interrupt / прерывать,Verb,B2,прекидати
1402,interview / интервью,Noun Verb,A1,интервју
1403,into / в,prep.,A1,у
1404,introduce / вводить,Verb,A1,увести
1405,introduction / введение,Noun,A2,увод
1406,invent / изобретенный,Verb,A2,изумети
1407,invention / изобретение,Noun,A2,изум
1408,invest / Инвестировать,Verb,B1,Инвест
1409,investigate / исследовать,Verb,B1,истражити
1410,investigation / изучение,Noun,B2,истрага
1411,investment / инвестиции,Noun,B2,инвестиција
1412,invitation / вызов,Noun,A2,позив
1413,invite / позвонить,Verb,A2,позвати
1414,involve / тащить за собой,Verb,A2,повлачити за собом
1415,involved / включены,Adjective,B1,укључени
1416,iron / утюг,Noun Verb,B1,гвожђе
1417,island / Остров,Noun,A1,острво
1418,issue / вопрос,"Noun, Verb","B1, B2",питање
1419,IT / ЧТО,Noun,B1,ТО
1420,it / что,proNoun,A1,то
1421,item / вещь,Noun,A2,ставка
1422,its / его,det.,A1,његово
1423,itself / самим собой,proNoun,A2,себе
1424,jacket / пиджак,Noun,A1,јакна
1425,jam / варенье,Noun,A2,џем
1426,January / январь,Noun,A1,јануар
1427,jazz / джаз,Noun,A2,џез
1428,jeans / джинсы,Noun,A1,фармерке
1429,jewellery / Ювелирные изделия,Noun,A2,накит
1430,job / бизнес,Noun,A1,посао
1431,join / присоединиться,Verb,A1,придружити
1432,joke / шутка,Noun Verb,A2,шала
1433,journal / журнал,Noun,B1,часопис
1434,journalist / журналист,Noun,A2,новинар
1435,journey / путешествовать,Noun,A1,путовање
1436,joy / радость,Noun,B2,радост
1437,judge / судья,Noun Verb,B1,судија
1438,judgement / суждение,Noun,B2,пресуда
1439,juice / сок,Noun,A1,сок
1440,July / июль,Noun,A1,Јул
1441,jump / Прыжок,Verb Noun,A2,скок
1442,June / июнь,Noun,A1,јун
1443,junior / моложе,Adjective,B2,млађи
1444,just / Только,Adverb,A1,само
1445,justice / справедливость,Noun,B2,правда
1446,justify / оправдывать,Verb,B2,оправдати
1447,keen / острый,Adjective,B1,оштар
1448,keep / хранить,Verb,A1,задржати
1449,key / ключ,"Noun, Adjective Verb","A1, B1",кључ
1450,keyboard / клавиатура,Noun,B1,тастатура
1451,kick / выстрелил,Verb Noun,B1,шут
1452,kid / ребенок,Noun,A2,дете
1453,kill / Убийство,Verb,A2,Килл
1454,killing / убийство,Noun,B1,убијање
1455,kilometre / километр,Noun,A1,километар
1456,kind(type) / тип,Noun,A1,врста (тип)
1457,kind(caring) / вид (забота),Adjective,B1,врста (брига)
1458,king / Король,Noun,A2,краљ
1459,kiss / целовать,Verb Noun,B1,пољубац
1460,kitchen / кухня,Noun,A1,кухиња
1461,knee / колено,Noun,A2,колено
1462,knife / нож,Noun,A2,нож
1463,knock / стучать,"Verb , Noun","A2, B1",куцати
1464,know / знать,Verb,A1,знати
1465,knowledge / знания,Noun,A2,знање
1466,lab / лаборатория,Noun,A2,лабораторија
1467,label / этикетка,Noun Verb,B1,етикета
1468,laboratory / лаборатория,Noun,B1,лабораторија
1469,labour / Работа,Noun,B2,рад
1470,lack / отсутствие,Noun Verb,B1,недостатак
1471,lady / леди,Noun,A2,дама
1472,lake / Озеро,Noun,A2,језеро
1473,lamp / фонарь,Noun,A2,лампа
1474,land / земельные участки,"Noun, Verb","A1, A2",земљиште
1475,landscape / пейзаж,Noun,B2,пејзаж
1476,language / Язык,Noun,A1,Језик
1477,laptop / ноутбук,Noun,A2,лап топ
1478,large / большой,Adjective,A1,велики
1479,largely / в значительной степени,Adverb,B2,у великој мери
1480,last1 (final) / последний1 (финал),"det., Adverb n","A1, A2",ласт1 (финал)
1481,last1 (taking time) / last1 (требует времени),Verb,A2,ласт1 (узимајући време)
1482,late / поздно,Adjective Adverb,A1,касно
1483,later / потом,"Adverb , Adjective","A1, A2",касније
1484,latest / последний,"Adjective , Noun","B1, B2",најновији
1485,laugh / смех,Verb Noun,A1,смех
1486,laughter / смех,Noun,A2,смех
1487,launch / запуск,Verb Noun,B2,лансирање
1488,law / закон,Noun,A2,закон
1489,lawyer / юрист,Noun,A2,адвокат
1490,lay / Лай,Verb,B1,Лаи
1491,layer / слой,Noun,B1,слој
1492,lazy / ленивый,Adjective,A2,лењ
1493,lead / привести,"Verb , Noun","A2, B1",олово
1494,leader / лидер,Noun,A2,лидер
1495,leadership / лидерство,Noun,B2,руководство
1496,leading / ведущий,Adjective,B1,водећи
1497,leaf / Лист,Noun,B1,Лист
1498,league / лига,Noun,B2,лига
1499,lean / наклониться,Verb,B2,нагнути
1500,learn / учиться,Verb,A1,научити
1501,learning / обучение,Noun,A2,учење
1502,least / наименее,det./proNoun Adverb,A2,најмање
1503,leather / козел,Noun,B1,кожа
1504,leave / отсутствие,"Verb , Noun","A1, B2",одсуство
1505,lecture / лекция,Noun Verb,A2,предавање
1506,left / оставил,Adjective Adverb Verb,A1,лево
1507,leg / нога,Noun,A1,нога
1508,legal / законный,Adjective,B1,правни
1509,leisure / Досуг,Noun,B1,Слободно време
1510,lemon / лимон,Noun,A2,лимун
1511,lend / занимать,Verb,A2,позајмити
1512,length / длина,Noun,B1,дужина
1513,less / меньше,det./pro Noun Adverb,A2,мање
1514,lesson / урок,Noun,A1,лекција
1515,let / разрешать,Verb,A1,дозволити
1516,letter / письмо,Noun,A1,писмо
1517,level / уровень,"Noun, Adjective , Verb","A2, B1, B2",ниво
1518,library / библиотека,Noun,A1,библиотека
1519,licence / лицензия,Noun,B2,лиценца
1520,lie / ложь,Verb,A1,лаж
1521,lie / ложь,Verb Noun,B2,лаж
1522,life / Жизнь,Noun,A1,живот
1523,lifestyle / образ жизни,Noun,A2,начин живота
1524,lift / подъем,Verb,Noun,дизање
1525,light (from the sun/a lamp) / свет (от солнца/лампы),"Noun Adverb , Verb","A1, A2",светло (од сунца / лампа)
1526,light (not heavy) / легкий (не тяжелый),Adjective,A2,лигхт (нот хеави)
1527,like (similar) / как,prep.,A1,лике (слично)
1528,like (find sb/sth pleasant) / Нравится (Найти SB / STH приятным),"Verb , n","A1, B1",као (Пронађите СБ / СТХ пријатно)
1529,Noun / Существительное,B1,,Именица
1530,likely / вероятно,Adjective,A2,вероватно
1531,limit / граница,Noun Verb,B1,граница
1532,limited / ограничено,Adjective,B2,ограничен
1533,line / линия,"Noun, Verb","A1, B2",линија
1534,link / Ссылка на сайт,Noun Verb,A2,линк
1535,lion / Лев,Noun,A1,лав
1536,lip / губа,Noun,B1,усна
1537,liquid / жидкость,Noun Adjective,B1,течност
1538,list / список,Noun Verb,A1,листа
1539,listen / Слушать,Verb,A1,слушати
1540,listener / слушатель,Noun,A2,слушалац
1541,literature / литература,Noun,B1,литература
1542,little / немного,"Adjective det./proNoun, Adverb","A1, A2",мало
1543,live1 / жить1,Verb,A1,ливе1
1544,live2 / жить2,Adjective Adverb,B1,ливе2
1545,lively / в живых,Adjective,B2,живо
1546,living / Жизнь,Adjective Noun,B1,живот
1547,load / нагрузка,Noun Verb,B2,оптерећење
1548,loan / заем,Noun,B2,зајам
1549,local / местный,"Adjective , Noun","A1, B1",lokalni
1550,locate / найти,Verb,B1,лоцирати
1551,located / расположен,Adjective,B1,налази се
1552,location / расположение,Noun,B1,локација
1553,lock / запереть,Verb Noun,A2,закључати
1554,logical / логический,Adjective,B2,логичан
1555,"lonely / Одинокий, уединенный",Adjective,B1,усамљен
1556,long / долг,Adjective Adverb,A1,дуг
1557,long-term / долгосрочный,Adjective Adverb,B2,дугорочни
1558,look / внешность,"Verb , Noun","A1, A2",изглед
1559,loose / терять,Adjective,B2,изгубити
1560,lord / Господин,Noun,B2,господар
1561,lorry / грузовая машина,Noun,A2,камион
1562,lose / терять,Verb,A1,изгубити
1563,loss / потеря,Noun,B1,губитак
1564,lost / потерял,Adjective,A2,изгубљен
1565,lot / много,proNoun det. Adverb,A1,много
1566,loud / громкий,Adjective Adverb,A2,гласно
1567,loudly / громкий,Adverb,A2,гласно
1568,love / любовь,Noun Verb,A1,љубав
1569,lovely / замечательно,Adjective,A2,диван
1570,low / низкий,"Adjective Adverb , n","A2, B2",низак
1571,lower / ниже,Verb,B2,нижи
1572,luck / счастье,Noun,A2,срећа
1573,lucky / счастливый,Adjective,A2,срећан
1574,lunch / обед,Noun,A1,ручак
1575,lung / легкое крыло,Noun,B2,плућно крило
1576,luxury / роскошь,Noun,B1,луксуз
1577,machine / машина,Noun,A1,машина
1578,mad / псих,Adjective,B1,луд
1579,magazine / журнал,Noun,A1,магазин
1580,magic / магия,Noun Adjective,B1,магија
1581,mail / Почта,Noun Verb,A2,Пошта
1582,main / главный,Adjective,A1,главни
1583,mainly / в основном,Adverb,B1,углавном
1584,maintain / установить,Verb,B2,успоставити
1585,major / главный,Adjective,A2,главни
1586,majority / большинство,Noun,B2,већина
1587,make / делать,"Verb , Noun","A1, B2",направити
1588,male / мужчина,Adjective Noun,A2,Мушки
1589,mall / торговый центр,Noun,B1,тржни центар
1590,man / человек,Noun,A1,човек
1591,manage / управлять,Verb,A2,управљати
1592,management / управление,Noun,B1,управљање
1593,manager / управляющий делами,Noun,A2,менаџер
1594,manner / манера,Noun,A2,манир
1595,many / много,det./proNoun,A1,многи
1596,map / Карта,"Noun, Verb","A1, B2",Мапа
1597,March / Маршировать,Noun,A1,март
1598,mark / отметка,Verb Noun,A2,ознака
1599,market / рынок,"Noun, Verb","A1, B1",тржиште
1600,marketing / Маркетинг,Noun,B1,Маркетинг
1601,marriage / свадьба,Noun,B1,брак
1602,married / женатый,Adjective,A1,ожењен
1603,marry / жениться,Verb,A2,венчати
1604,mass / масса,Noun Adjective,B2,маса
1605,massive / массивный,Adjective,B2,масиван
1606,master / хозяин,Noun Verb,B2,мајстор
1607,match (contest/correspond) / матч (соревнование / матчи),Noun Verb,A1,матцх (цонтест / одговара)
1608,matching / соответствующий,Adjective,B2,одговарајући
1609,material / материал,"Noun, Adjective","A2, B2",материјал
1610,mathematics / математика,Noun,A2,математика
1611,maths / математика,Noun,A2,математика
1612,matter / иметь значение,Noun Verb,A2,материја
1613,maximum / максимум,Adjective Noun,B2,максимум
1614,May / Можно,Noun,A1,Може
1615,may modal / может модальный,Verb,A2,може модал
1616,maybe / Может быть,Adverb,A1,можда
1617,me / мы,proNoun,A1,ми
1618,meal / еда,Noun,A1,оброк
1619,mean / иметь в виду,Verb,A1,значити
1620,meaning / значение,Noun,A1,значење
1621,means / Ресурсы,Noun,B2,средства
1622,meanwhile / В это время,Adverb,B1,у међувремену
1623,measure / мера,Verb Noun,B1,мера
1624,measurement / мера,Noun,B2,мера
1625,meat / мясо,Noun,A1,месо
1626,media / средний,Noun,A2,медиј
1627,medical / медицинский,Adjective,A2,медицински
1628,medicine / лекарственное средство,Noun,A2,лек
1629,medium / середина,"Adjective , Noun","B1, B2",средњи
1630,meet / встреча,Verb,A1,сусрет
1631,meeting / встреча,Noun,A1,састанак
1632,melt / растворяться,Verb,B2,отопити
1633,member / член,Noun,A1,члан
1634,memory / Память,Noun,A2,меморија
1635,mental / психический,Adjective,B1,ментални
1636,mention / упомянуть,"Verb , Noun","A2, B1",помињање
1637,menu / меню,Noun,A1,мени
1638,mess / беспорядок,Noun Verb,B1,неред
1639,message / сообщение,Noun,A1,порука
1640,metal / металл,Noun,A2,метал
1641,method / метод,Noun,A2,метод
1642,metre / метр,Noun,A1,метар
1643,middle / середина,Noun Adjective,A2,средњи
1644,midnight / полночь,Noun,A1,поноћ
1645,might modal / может модальный,Verb,A2,možda модал
1646,mild / незначительный,Adjective,B1,благ
1647,mile / миля,Noun,A1,миља
1648,military / военный,Adjective Noun,B2,војни
1649,milk / молоко,Noun,A1,млеко
1650,million number / миллионное число,,A1,милиона број
1651,mind / разум,Noun Verb,A2,ум
1652,mine (belongs to me) / мой (принадлежит мне),proNoun,A2,мина (припада мени)
1653,mine (hole in the ground) / Шахта (дыра в земле),Noun,B1,Рудник (рупа у земљи)
1654,mineral / минеральная,Noun,B2,минерал
1655,minimum / минимум,Adjective Noun,B2,минимум
1656,minister / министр,Noun,B2,министар
1657,minor / незначительный,Adjective,B2,малолетник
1658,minority / меньшинство,Noun,B2,мањина
1659,minute / минута,Noun,A1,минут
1660,mirror / зеркало,Noun,A2,огледало
1661,miss / Скучать,Verb,A1,Госпођица
1662,missing / исчезнувший,Adjective,A2,нестао
1663,mission / миссия,Noun,B2,мисија
1664,mistake / ошибка,"Noun, Verb","A1, B2",грешка
1665,mix / смешивание,Verb Noun,B1,mix
1666,mixed / перепутал,Adjective,B2,помешан
1667,mixture / смесь,Noun,B1,мешавина
1668,mobile / мобильный,Adjective Noun,A2,мобилни
1669,model / модель,"Noun, Verb","A1, B2",модел
1670,modern / современный,Adjective,A1,модеран
1671,modify / модифицировать,Verb,B2,модификовати
1672,moment / момент,Noun,A1,тренутак
1673,Monday / Понедельник,Noun,A1,Понедељак
1674,money / Деньги,Noun,A1,новац
1675,monitor / монитор,Noun Verb,B2,монитор
1676,monkey / обезьяна,Noun,A2,мајмун
1677,month / месяц,Noun,A1,месец дана
1678,mood / настроение,Noun,B1,расположење
1679,moon / месяц,Noun,A2,месец
1680,moral / моральный,Adjective Noun,B2,моралан
1681,more / более,det./proNoun Adverb,A1,више
1682,morning / утро,Noun,A1,јутро
1683,most / большинство,det./proNoun Adverb,A1,највише
1684,mostly / в основном,Adverb,A2,углавном
1685,mother / мать,Noun,A1,мајка
1686,motor / двигатель,Noun Adjective,B2,моторни
1687,motorcycle / мотоцикл,Noun,A2,мотоцикл
1688,mount / стоять,Verb,B2,постоље
1689,mountain / Гора,Noun,A1,планина
1690,mouse / мышь,Noun,A1,миш
1691,mouth / рот,Noun,A1,уста
1692,move / шаг,"Verb , Noun","A1, B1",потез
1693,movement / шаг,Noun,A2,покрет
1694,movie / Кино,Noun,A1,филм
1695,much / много,det./proNoun Adverb,A1,много
1696,mud / грязь,Noun,B1,блато
1697,multiple / более,Adjective,B2,више
1698,multiply / несколько,Verb,B2,вишеструко
1699,mum / мама,Noun,A1,мама
1700,murder / убийство,NounVerb,B1,убиство
1701,muscle / мышца,Noun,B1,мишић
1702,museum / музей,Noun,A1,музеј
1703,music / музыка,Noun,A1,музика
1704,musical / музыкально,"Adjective , Noun","A2, B1",музички
1705,musician / музыкант,Noun,A2,музичар
1706,must modal / должен быть модальным,Verb,A1,mora модал
1707,my / мой,det.,A1,мој
1708,myself / один,proNoun,A2,сам
1709,mysterious / таинственный,Adjective,B2,мистериозан
1710,mystery / Загадка,Noun,B1,Мистерија
1711,nail / Гвоздь,Noun,B1,ексер
1712,name / Имя,Noun Verb,A1,име
1713,narrative / история,Noun Adjective,B1,прича
1714,narrow / узкий,"Adjective , Verb","A2, B2",узак
1715,nation / люди,Noun,B1,народ
1716,national / государство,"Adjective , Noun","A2, B2",државни
1717,native / Родной,Adjective Noun,B1,рођени
1718,natural / естественный,Adjective,A1,природни
1719,naturally / естественно,Adverb,B1,природно
1720,nature / природа,Noun,A2,природа
1721,near / рядом с,prep. Adjective Adverb,A1,близу
1722,nearly / почти,Adverb,A2,скоро
1723,neat / аккуратный,Adjective,B2,уредан
1724,necessarily / обязательный,Adverb,B1,обавезно
1725,necessary / необходимый,Adjective,A2,неопходан
1726,neck / шея,Noun,A2,врат
1727,need / нуждаться,"Verb , Noun, modal Verb","A1, A2, B1",требати
1728,needle / иголка,Noun,B1,игла
1729,negative / отрицательный,"Adjective , Noun","A1, B2",негативан
1730,neighbour / сосед,Noun,A1,комшија
1731,neighbourhood / район,Noun,B1,комшилук
1732,neither / ни один,"det./proNoun, Adverb","A2, B1",ни
1733,nerve / нерв,Noun,B2,нерв
1734,nervous / нервный,Adjective,A2,нервозан
1735,net / не то,Noun,B1,нето
1736,network / сеть,Noun,A2,мрежа
1737,never / никогда,Adverb,A1,никад
1738,nevertheless / пока что,Adverb,B2,ипак
1739,new / Новый,Adjective,A1,Нова
1740,news / Новости,Noun,A1,новости
1741,newspaper / газета,Noun,A1,новине
1742,next / следующий,"Adjective Adverb , Noun","A1, B1",следећи
1743,next to / следующий на,prep.,A1,поред
1744,nice / отлично,Adjective,A1,леп
1745,night / ночь,Noun,A1,ноћ
1746,nightmare / кошмар,Noun,B2,ноћна мора
1747,nine / девять,number,A1,девет
1748,nineteen / 19,number,A1,деветнаест
1749,ninety / девяносто,number,A1,деведесет
1750,no / нет,exclam. det.,A1,не
1751,no one / никто,proNoun,A1,нико
1752,nobody / никто,proNoun,A1,нико
1753,noise / шум,Noun,A2,бука
1754,noisy / шумный,Adjective,A2,бучан
1755,none / никто,pro Noun,A2,ниједан
1756,nor / ни один,conj./Adverb,B1,ни
1757,normal / обычный,"Adjective , Noun","A2, B1",нормалан
1758,normally / обычно,Adverb,A2,нормално
1759,north / север,Noun Adjective Adverb,A1,север
1760,northern / северный,Adjective,B1,северни
1761,nose / нос,Noun,A1,нос
1762,not / нет,Adverb,A1,не
1763,note / Примечание,Noun Verb,"A1, B1",Белешка
1764,nothing / ничего такого,proNoun,A1,ништа
1765,notice / объявление,Verb Noun,A2,објава
1766,notion / концепция,Noun,B2,појам
1767,novel / Роман,Noun,A2,Роман
1768,November / ноябрь,Noun,A1,новембар
1769,now / В настоящее время,"Adverb , conj.","A1, B1",Сада
1770,nowhere / нигде,Adverb,A2,нигде
1771,nuclear / ядерный,Adjective,B1,нуклеарна
1772,number / Число,"Noun, Verb","A1, A2",број
1773,numerous / многочисленные,Adjective,B2,бројни
1774,nurse / Медсестра,Noun,A1,медицинска сестра
1775,nut / грецкий орех,Noun,A2,орах
1776,obey / уважать,Verb,B2,поштовати
1777,object / объект,Noun Verb,"A1, B2",објекат
1778,objective / задача,Noun Adjective,B2,објективан
1779,obligation / обязательство,Noun,B2,обавеза
1780,observation / Наблюдение,Noun,B2,посматрање
1781,observe / наблюдать,Verb,B2,посматрати
1782,obtain / получить,Verb,B2,добити
1783,obvious / очевидный,Adjective,B1,очигледан
1784,obviously / очевидно,Adverb,B1,очито
1785,occasion / возможность,Noun,B1,прилика
1786,occasionally / периодически,Adverb,B2,повремено
1787,occur / прийти,Verb,B1,доћи
1788,ocean / Океан,Noun,A2,океан
1789,o’clock / часы,Adverb,A1,сати
1790,October / Октябрь,Noun,A1,октобар
1791,odd / странный,Adjective,B1,непаран
1792,of / от,prep.,A1,од
1793,off / вне,Adverb prep.,A1,ван
1794,offence / проступок,Noun,B2,прекршај
1795,offend / обидеть,Verb,B2,увредити
1796,offensive / оскорбительный,Adjective,B2,офанзива
1797,offer / ставка,Verb Noun,A2,понуда
1798,office / Офис,Noun,A1,канцеларија
1799,officer / Офицер,Noun,A2,официр
1800,official / официальный,"Adjective , Noun","B1, B2",званичник
1801,often / Часто,Adverb,A1,често
1802,oh / ой,exclam.,A1,ох
1803,oil / масло,Noun,A2,уље
1804,OK / ХОРОШО,exclam. Adjective /Adverb,A1,ок
1805,old / старый,Adjective,A1,стар
1806,old-fashioned / старомодный,Adjective,B1,старомодан
1807,on / на,prep. Adverb,A1,на
1808,once / один раз,"Adverb , conj.","A1, B1",једном
1809,one / один,number-det. proNoun,A1,једно
1810,onion / лук,Noun,A1,лук
1811,online / Онлайн,Adjective Adverb,A1,Онлине
1812,only / Только,Adjective Adverb,A1,само
1813,onto / ка,prep.,A2,ка
1814,open / открыл,Adjective Verb,A1,отворен
1815,opening / открытие,Noun,B2,отварање
1816,operate / сделать,Verb,B2,радити
1817,operation / операция,Noun,B1,операција
1818,opinion / мнение,Noun,A1,мишљење
1819,opponent / противник,Noun,B2,противник
1820,opportunity / возможность,Noun,A2,прилика
1821,oppose / выступать против,Verb,B2,супротставити
1822,opposed / противоположный,Adjective,B2,супротна
1823,opposite / противоположный,Adjective Adverb prep. Noun,A1,супротан
1824,opposition / оппозиция,Noun,B2,опозиција
1825,option / вариант,Noun,A2,опција
1826,or / или же,conj.,A1,или
1827,orange / апельсин,Noun Adjective,A1,поморанџа
1828,order / строка,Noun Verb,A1,ред
1829,ordinary / обычный,Adjective,A2,обичан
1830,organ / орган,Noun,B2,орган
1831,organization / организация,Noun,A2,организација
1832,organize / организовать,Verb,A2,организовати
1833,organized / организованный,Adjective,B1,организован
1834,organizer / организатор,Noun,B1,организатор
1835,origin / источник,Noun,B2,порекло
